occupation_code|title|rate
01011|Accounting Clerk I|23.78
01012|Accounting Clerk II|26.69
01013|Accounting Clerk III|29.85
01020|Administrative Assistant|46.70
01035|Court Reporter|62.05
01041|Customer Service Representative I|20.32
01042|Customer Service Representative II|22.17
01043|Customer Service Representative III|24.88
01051|Data Entry Operator I|21.43
01052|Data Entry Operator II|23.38
01060|Dispatcher, Motor Vehicle|29.13
01070|Document Preparation Clerk|20.57
01090|Duplicating Machine Operator|20.57
01111|General Clerk I|20.58
01112|General Clerk II|22.46
01113|General Clerk III|25.22
01120|Housing Referral Assistant|31.71
01141|Messenger Courier|23.05
01191|Order Clerk I|21.34
01192|Order Clerk II|23.29
01261|Personnel Assistant (Employment) I|24.85
01262|Personnel Assistant (Employment) II|27.79
01263|Personnel Assistant (Employment) III|30.98
01270|Production Control Clerk|33.35
01290|Rental Clerk|22.10
01300|Scheduler, Maintenance|25.43
01311|Secretary I|25.43
01312|Secretary II|28.45
01313|Secretary III|31.71
01320|Service Order Dispatcher|24.50
01410|Supply Technician|46.70
01420|Survey Worker|28.86
01460|Switchboard Operator/Receptionist|22.24
01531|Travel Clerk I|24.40
01532|Travel Clerk II|26.57
01533|Travel Clerk III|29.01
01611|Word Processor I|26.14
01612|Word Processor II|29.33
01613|Word Processor III|32.81
05005|Automobile Body Repairer, Fiberglass|30.09
05010|Automotive,Electrician|30.12
05040|Automotive Glass Installer|28.50
05070|Automotive Worker|28.50
05110|Mobile Equipment Servicer|25.13
05130|Motor Equipment Metal Mechanic|31.76
05160|Motor Equipment Metal Worker|28.50
05190|Motor Vehicle Mechanic|31.76
05220|Motor Vehicle Mechanic Helper|23.22
05250|Motor Vehicle Upholstery Worker|26.88
05280|Motor Vehicle Wrecker|28.50
05310|Painter, Automotive|30.12
05340|Radiator Repair Specialist|28.50
05370|Tire Repairer|21.61
05400|Transmission Repair Specialist|31.76
07010|Baker|20.93
07041|Cook I|22.93
07042|Cook II|26.00
07070|Dishwasher|19.01
07130|Food Service Worker|19.17
07210|Meat Cutter|22.03
07260|Waiter/Waitress|18.03
09010|Electrostatic Spray Painter|29.69
09040|Furniture Handler|15.94
09080|Furniture Refinisher|24.84
09090|Furniture Refinisher Helper|19.15
09110|Furniture Repairer, Minor|22.16
09130|Upholsterer|25.97
11030|Cleaner, Vehicles|19.40
11060|Elevator Operator|20.06
11090|Gardener|28.97
11122|Housekeeping Aide|20.81
11150|Janitor|20.81
11210|Laborer, Grounds Maintenance|22.29
11240|Maid or Houseman|21.68
11260|Pruner|20.05
11270|Tractor Operator|26.77
11330|Trail Maintenance Worker|22.29
11360|Window Cleaner|23.13
12010|Ambulance Driver|24.06
12011|Breath Alcohol Technician|36.06
12012|Certified Occupational Therapist Assistant|46.60
12015|Certified Physical Therapist Assistant|44.92
12020|Dental Assistant|30.33
12025|Dental Hygienist|66.08
12030|EKG Technician|43.42
12035|Electroneurodiagnostic Technologist|43.42
12040|Emergency Medical Technician|24.06
12071|Licensed Practical Nurse I|32.24
12072|Licensed Practical Nurse II|36.06
12073|Licensed Practical Nurse III|40.22
12100|Medical Assistant|28.74
12130|Medical Laboratory Technician|38.31
12160|Medical Record Clerk|31.02
12190|Medical Record Technician|34.70
12195|Medical Transcriptionist|25.94
12210|Nuclear Medicine Technologist|85.55
12221|Nursing Assistant I|17.58
12222|Nursing Assistant II|19.78
12223|Nursing Assistant III|21.58
12224|Nursing Assistant IV|24.22
12235|Optical Dispenser|28.22
12236|Optical Technician|27.26
12250|Pharmacy Technician|29.56
12280|Phlebotomist|27.06
12305|Radiologic Technologist|65.43
12311|Registered Nurse I|49.13
12312|Registered Nurse II|60.10
12313|Registered Nurse II, Specialist|60.10
12314|Registered Nurse III|72.70
12315|Registered Nurse III, Anesthetist|72.70
12316|Registered Nurse IV|87.14
12317|Scheduler (Drug and Alcohol Testing)|44.69
12320|Substance Abuse Treatment Counselor|29.86
13011|Exhibits Specialist I|25.45
13012|Exhibits Specialist II|31.05
13013|Exhibits Specialist III|37.98
13041|Illustrator I|29.13
13042|Illustrator II|36.07
13043|Illustrator III|44.14
13047|Librarian|45.23
13050|Library Aide/Clerk|27.69
13054|Library Information Technology Systems Administrator|40.84
13058|Library Technician|29.38
13061|Media Specialist I|29.47
13062|Media Specialist II|32.97
13063|Media Specialist III|36.75
13071|Photographer I|23.80
13072|Photographer II|26.63
13073|Photographer III|33.00
13074|Photographer IV|40.35
13075|Photographer V|48.82
13090|Technical Order Library Clerk|32.51
13110|Video Teleconference Technician|31.24
14041|Computer Operator I|27.83
14042|Computer Operator II|31.13
